unit,region,preproc,model,thresh,score
oo2015_9_A,L,rawspectrogram,linear,0.75,0.286586
oo2015_9_A,L,rawspectrogram,linear,1.00,0.274599
oo2015_9_A,L,rawspectrogram,sepnl_spline,0.00,0.325506
oo2015_9_A,L,rawspectrogram,sepnl_spline,0.25,0.282130
oo2015_9_A,L,rawspectrogram,sepnl_spline,0.50,0.339385
oo2015_9_A,L,rawspectrogram,sepnl_spline,0.75,0.352249
oo2015_9_A,L,rawspectrogram,sepnl_spline,1.00,0.352840
oo2015_9_A,L,rawspectrogram,sepnl_dists,0.00,0.335241
oo2015_9_A,L,rawspectrogram,sepnl_dists,0.25,0.339776
oo2015_9_A,L,rawspectrogram,sepnl_dists,0.50,0.349567
oo2015_9_A,L,rawspectrogram,sepnl_dists,0.75,0.361107
oo2015_9_A,L,rawspectrogram,sepnl_dists,1.00,0.356129
oo2015_9_A,L,rawspectrogram,poisson,0.00,0.141901
oo2015_9_A,L,rawspectrogram,poisson,0.25,0.231182
oo2015_9_A,L,rawspectrogram,poisson,0.50,0.296659
oo2015_9_A,L,rawspectrogram,poisson,0.75,0.294373
oo2015_9_A,L,rawspectrogram,poisson,1.00,0.325540
oo2015_9_A,L,rawspectrogram,binomial,0.00,0.083389
oo2015_9_A,L,rawspectrogram,binomial,0.25,0.090304
oo2015_9_A,L,rawspectrogram,binomial,0.50,0.235773
oo2015_9_A,L,rawspectrogram,binomial,0.75,0.304794
oo2015_9_A,L,rawspectrogram,binomial,1.00,0.334749
oo2015_9_A,L,rawspectrogram,leglm,0.00,0.201872
oo2015_9_A,L,rawspectrogram,leglm,0.25,0.303457
oo2015_9_A,L,rawspectrogram,leglm,0.50,0.315782
oo2015_9_A,L,rawspectrogram,leglm,0.75,0.323498
oo2015_9_A,L,rawspectrogram,leglm,1.00,0.333092
oo2015_9_A,L,lyons,linear,0.00,0.240616
oo2015_9_A,L,lyons,linear,0.25,0.243652
oo2015_9_A,L,lyons,linear,0.50,0.246096
oo2015_9_A,L,lyons,linear,0.75,0.246948
oo2015_9_A,L,lyons,linear,1.00,0.225497
oo2015_9_A,L,lyons,sepnl_spline,0.00,0.208752
oo2015_9_A,L,lyons,sepnl_spline,0.25,0.254211
oo2015_9_A,L,lyons,sepnl_spline,0.50,0.254572
oo2015_9_A,L,lyons,sepnl_spline,0.75,0.256763
oo2015_9_A,L,lyons,sepnl_spline,1.00,0.233642
oo2015_9_A,L,lyons,sepnl_dists,0.00,0.250582
oo2015_9_A,L,lyons,sepnl_dists,0.25,0.249604
oo2015_9_A,L,lyons,sepnl_dists,0.50,0.255480
oo2015_9_A,L,lyons,sepnl_dists,0.75,0.197015
oo2015_9_A,L,lyons,sepnl_dists,1.00,0.198472
oo2015_9_A,L,lyons,poisson,0.00,0.073523
oo2015_9_A,L,lyons,poisson,0.25,0.136399
oo2015_9_A,L,lyons,poisson,0.50,0.232849
oo2015_9_A,L,lyons,poisson,0.75,0.225474
oo2015_9_A,L,lyons,poisson,1.00,0.236509
oo2015_9_A,L,lyons,binomial,0.00,0.143992
oo2015_9_A,L,lyons,binomial,0.25,0.246447
oo2015_9_A,L,lyons,binomial,0.50,0.253808
oo2015_9_A,L,lyons,binomial,0.75,0.256037
oo2015_9_A,L,lyons,binomial,1.00,0.245103
oo2015_9_A,L,lyons,leglm,0.00,0.139559
oo2015_9_A,L,lyons,leglm,0.25,0.249119
oo2015_9_A,L,lyons,leglm,0.50,0.256217
oo2015_9_A,L,lyons,leglm,0.75,0.259171
oo2015_9_A,L,lyons,leglm,1.00,0.239060
oo2015_9_A,L,surprise,linear,0.00,0.317755
oo2015_9_A,L,surprise,linear,0.25,0.321000
oo2015_9_A,L,surprise,linear,0.50,0.322268
oo2015_9_A,L,surprise,linear,0.75,0.321650
oo2015_9_A,L,surprise,linear,1.00,0.321064
oo2015_9_A,L,surprise,sepnl_spline,0.00,0.320456
oo2015_9_A,L,surprise,sepnl_spline,0.25,0.335796
oo2015_9_A,L,surprise,sepnl_spline,0.50,0.337851
oo2015_9_A,L,surprise,sepnl_spline,0.75,0.329771
oo2015_9_A,L,surprise,sepnl_spline,1.00,0.320349
oo2015_9_A,L,surprise,sepnl_dists,0.00,0.337507
oo2015_9_A,L,surprise,sepnl_dists,0.25,0.343008
oo2015_9_A,L,surprise,sepnl_dists,0.50,0.337926
oo2015_9_A,L,surprise,sepnl_dists,0.75,0.322088
oo2015_9_A,L,surprise,sepnl_dists,1.00,0.310575
oo2015_9_A,L,surprise,poisson,0.00,0.336125
oo2015_9_A,L,surprise,poisson,0.25,0.322702
oo2015_9_A,L,surprise,poisson,0.50,0.307785
oo2015_9_A,L,surprise,poisson,0.75,0.309336
oo2015_9_A,L,surprise,poisson,1.00,0.294737
oo2015_9_A,L,surprise,binomial,0.00,0.340305
oo2015_9_A,L,surprise,binomial,0.25,0.340364
oo2015_9_A,L,surprise,binomial,0.50,0.351434
oo2015_9_A,L,surprise,binomial,0.75,0.366569
oo2015_9_A,L,surprise,binomial,1.00,0.324396
oo2015_9_A,L,surprise,leglm,0.00,0.374032
