unit,region,preproc,model,thresh,score
oo1920_6_B,L,lyons,leglm,0.00,0.173143
oo1920_6_B,L,lyons,leglm,0.25,0.170358
oo1920_6_B,L,lyons,leglm,0.50,0.348421
oo1920_6_B,L,lyons,leglm,0.75,0.446574
oo1920_6_B,L,lyons,leglm,1.00,0.432114
oo1920_6_B,L,surprise,linear,0.00,0.365551
oo1920_6_B,L,surprise,linear,0.25,0.371336
oo1920_6_B,L,surprise,linear,0.50,0.367556
oo1920_6_B,L,surprise,linear,0.75,0.365168
oo1920_6_B,L,surprise,linear,1.00,0.350365
oo1920_6_B,L,surprise,sepnl_spline,0.00,0.441174
oo1920_6_B,L,surprise,sepnl_spline,0.25,0.441839
oo1920_6_B,L,surprise,sepnl_spline,0.50,0.442280
oo1920_6_B,L,surprise,sepnl_spline,0.75,0.324695
oo1920_6_B,L,surprise,sepnl_spline,1.00,0.414081
oo1920_6_B,L,surprise,sepnl_dists,0.00,0.448330
oo1920_6_B,L,surprise,sepnl_dists,0.25,0.438187
oo1920_6_B,L,surprise,sepnl_dists,0.50,0.421765
oo1920_6_B,L,surprise,sepnl_dists,0.75,0.409510
oo1920_6_B,L,surprise,sepnl_dists,1.00,0.443586
oo1920_6_B,L,surprise,poisson,0.00,0.353301
oo1920_6_B,L,surprise,poisson,0.25,0.345949
oo1920_6_B,L,surprise,poisson,0.50,0.332331
oo1920_6_B,L,surprise,poisson,0.75,0.329776
oo1920_6_B,L,surprise,poisson,1.00,0.307403
oo1920_6_B,L,surprise,binomial,0.00,0.240539
oo1920_6_B,L,surprise,binomial,0.25,0.233232
oo1920_6_B,L,surprise,binomial,0.50,0.237798
oo1920_6_B,L,surprise,binomial,0.75,0.309966
oo1920_6_B,L,surprise,binomial,1.00,0.372980
oo1920_6_B,L,surprise,leglm,0.00,0.389408
oo1920_6_B,L,surprise,leglm,0.25,0.384025
oo1920_6_B,L,surprise,leglm,0.50,0.383432
oo1920_6_B,L,surprise,leglm,0.75,0.377694
oo1920_6_B,L,surprise,leglm,1.00,0.342270
oo1920_6_B,L,neurogram,linear,0.50,0.342952
oo1920_6_B,L,neurogram,linear,1.00,0.324624
oo1920_6_B,L,neurogram,sepnl_spline,0.50,0.386703
oo1920_6_B,L,neurogram,sepnl_spline,1.00,0.363062
oo1920_6_B,L,neurogram,sepnl_dists,0.50,0.348337
oo1920_6_B,L,neurogram,sepnl_dists,1.00,0.321461
oo1920_6_B,L,neurogram,leglm,0.50,0.323877
oo1920_6_B,L,neurogram,leglm,1.00,0.296168
yy2728_4_B,L,rawspectrogram,linear,0.00,0.400908
yy2728_4_B,L,rawspectrogram,linear,0.25,0.422298
yy2728_4_B,L,rawspectrogram,linear,0.50,0.418879
yy2728_4_B,L,rawspectrogram,linear,0.75,0.417413
yy2728_4_B,L,rawspectrogram,linear,1.00,0.406499
yy2728_4_B,L,rawspectrogram,sepnl_spline,0.00,0.386495
yy2728_4_B,L,rawspectrogram,sepnl_spline,0.25,0.410086
yy2728_4_B,L,rawspectrogram,sepnl_spline,0.50,0.418110
yy2728_4_B,L,rawspectrogram,sepnl_spline,0.75,0.430975
yy2728_4_B,L,rawspectrogram,sepnl_spline,1.00,0.434073
yy2728_4_B,L,rawspectrogram,sepnl_dists,0.00,0.394176
yy2728_4_B,L,rawspectrogram,sepnl_dists,0.25,0.421518
yy2728_4_B,L,rawspectrogram,sepnl_dists,0.50,0.421637
yy2728_4_B,L,rawspectrogram,sepnl_dists,0.75,0.426700
yy2728_4_B,L,rawspectrogram,sepnl_dists,1.00,0.430526
yy2728_4_B,L,rawspectrogram,poisson,0.00,0.343501
yy2728_4_B,L,rawspectrogram,poisson,0.25,0.400410
yy2728_4_B,L,rawspectrogram,poisson,0.50,0.399939
yy2728_4_B,L,rawspectrogram,poisson,0.75,0.404332
yy2728_4_B,L,rawspectrogram,poisson,1.00,0.386983
yy2728_4_B,L,rawspectrogram,binomial,0.00,0.165273
yy2728_4_B,L,rawspectrogram,binomial,0.25,0.251944
yy2728_4_B,L,rawspectrogram,binomial,0.50,0.384444
yy2728_4_B,L,rawspectrogram,binomial,0.75,0.399483
yy2728_4_B,L,rawspectrogram,binomial,1.00,0.410206
yy2728_4_B,L,rawspectrogram,leglm,0.00,0.364189
yy2728_4_B,L,rawspectrogram,leglm,0.25,0.403488
yy2728_4_B,L,rawspectrogram,leglm,0.50,0.427444
yy2728_4_B,L,rawspectrogram,leglm,0.75,0.419868
yy2728_4_B,L,rawspectrogram,leglm,1.00,0.422934
yy2728_4_B,L,lyons,linear,0.00,0.332446
yy2728_4_B,L,lyons,linear,0.25,0.349212
yy2728_4_B,L,lyons,linear,0.50,0.362347
yy2728_4_B,L,lyons,linear,0.75,0.367467
yy2728_4_B,L,lyons,linear,1.00,0.359956
yy2728_4_B,L,lyons,sepnl_spline,0.00,0.327469
yy2728_4_B,L,lyons,sepnl_spline,0.25,0.343226
yy2728_4_B,L,lyons,sepnl_spline,0.50,0.361073
yy2728_4_B,L,lyons,sepnl_spline,0.75,0.373259
yy2728_4_B,L,lyons,sepnl_spline,1.00,0.367403
yy2728_4_B,L,lyons,sepnl_dists,0.00,0.326589
yy2728_4_B,L,lyons,sepnl_dists,0.25,0.336465
yy2728_4_B,L,lyons,sepnl_dists,0.50,0.357304
yy2728_4_B,L,lyons,sepnl_dists,0.75,0.370003
yy2728_4_B,L,lyons,sepnl_dists,1.00,0.362024
yy2728_4_B,L,lyons,poisson,0.00,0.172125
yy2728_4_B,L,lyons,poisson,0.25,0.283444
yy2728_4_B,L,lyons,poisson,0.50,0.307505
yy2728_4_B,L,lyons,poisson,0.75,0.261816
yy2728_4_B,L,lyons,poisson,1.00,0.279581
yy2728_4_B,L,lyons,binomial,0.00,0.167890
yy2728_4_B,L,lyons,binomial,0.25,0.218133
yy2728_4_B,L,lyons,binomial,0.50,0.323185
yy2728_4_B,L,lyons,binomial,0.75,0.285061
yy2728_4_B,L,lyons,binomial,1.00,0.295596
yy2728_4_B,L,lyons,leglm,0.00,0.280273
yy2728_4_B,L,lyons,leglm,0.25,0.283587
yy2728_4_B,L,lyons,leglm,0.50,0.298934
yy2728_4_B,L,lyons,leglm,0.75,0.295179
yy2728_4_B,L,lyons,leglm,1.00,0.299903
yy2728_4_B,L,surprise,linear,0.00,0.167366
yy2728_4_B,L,surprise,linear,0.25,0.166615
yy2728_4_B,L,surprise,linear,0.50,0.165959
yy2728_4_B,L,surprise,linear,0.75,0.165851
yy2728_4_B,L,surprise,linear,1.00,0.165455
yy2728_4_B,L,surprise,sepnl_spline,0.00,0.159717
yy2728_4_B,L,surprise,sepnl_spline,0.25,0.165847
yy2728_4_B,L,surprise,sepnl_spline,0.50,0.163721
yy2728_4_B,L,surprise,sepnl_spline,0.75,0.160502
yy2728_4_B,L,surprise,sepnl_spline,1.00,0.167442
yy2728_4_B,L,surprise,sepnl_dists,0.00,0.164520
yy2728_4_B,L,surprise,sepnl_dists,0.25,0.162824
yy2728_4_B,L,surprise,sepnl_dists,0.50,0.162059
yy2728_4_B,L,surprise,sepnl_dists,0.75,0.160823
yy2728_4_B,L,surprise,sepnl_dists,1.00,0.167660
yy2728_4_B,L,surprise,poisson,0.00,0.150802
yy2728_4_B,L,surprise,poisson,0.25,0.149816
yy2728_4_B,L,surprise,poisson,0.50,0.149190
yy2728_4_B,L,surprise,poisson,0.75,0.153964
yy2728_4_B,L,surprise,poisson,1.00,0.168357
yy2728_4_B,L,surprise,binomial,0.00,0.103559
yy2728_4_B,L,surprise,binomial,0.25,0.102714
yy2728_4_B,L,surprise,binomial,0.50,0.104613
yy2728_4_B,L,surprise,binomial,0.75,0.126621
yy2728_4_B,L,surprise,binomial,1.00,0.169117
yy2728_4_B,L,surprise,leglm,0.00,0.156389
yy2728_4_B,L,surprise,leglm,0.25,0.156048
yy2728_4_B,L,surprise,leglm,0.50,0.155069
yy2728_4_B,L,surprise,leglm,0.75,0.159911
yy2728_4_B,L,surprise,leglm,1.00,0.169647
yy2728_4_B,L,neurogram,linear,0.50,0.160863
yy2728_4_B,L,neurogram,linear,1.00,0.148145
yy2728_4_B,L,neurogram,sepnl_spline,0.50,0.164432
yy2728_4_B,L,neurogram,sepnl_spline,1.00,0.152846
yy2728_4_B,L,neurogram,sepnl_dists,0.50,0.166126
yy2728_4_B,L,neurogram,sepnl_dists,1.00,0.141107
yy2728_4_B,L,neurogram,leglm,0.50,0.162265
yy2728_4_B,L,neurogram,leglm,1.00,0.146849
ww1211_5_B,L,rawspectrogram,linear,0.00,0.331489
ww1211_5_B,L,rawspectrogram,linear,0.25,0.343426
ww1211_5_B,L,rawspectrogram,linear,0.50,0.329693
ww1211_5_B,L,rawspectrogram,linear,0.75,0.333228
ww1211_5_B,L,rawspectrogram,linear,1.00,0.328089
ww1211_5_B,L,rawspectrogram,sepnl_spline,0.00,0.372671
ww1211_5_B,L,rawspectrogram,sepnl_spline,0.25,0.378530
ww1211_5_B,L,rawspectrogram,sepnl_spline,0.50,0.380651
ww1211_5_B,L,rawspectrogram,sepnl_spline,0.75,0.388772
ww1211_5_B,L,rawspectrogram,sepnl_spline,1.00,0.401804
ww1211_5_B,L,rawspectrogram,sepnl_dists,0.00,0.371013
ww1211_5_B,L,rawspectrogram,sepnl_dists,0.25,0.378813
ww1211_5_B,L,rawspectrogram,sepnl_dists,0.50,0.380266
ww1211_5_B,L,rawspectrogram,sepnl_dists,0.75,0.388334
ww1211_5_B,L,rawspectrogram,sepnl_dists,1.00,0.403264
ww1211_5_B,L,rawspectrogram,poisson,0.00,0.101444
ww1211_5_B,L,rawspectrogram,poisson,0.25,0.171128
ww1211_5_B,L,rawspectrogram,poisson,0.50,0.317273
ww1211_5_B,L,rawspectrogram,poisson,0.75,0.335179
ww1211_5_B,L,rawspectrogram,poisson,1.00,0.346814
ww1211_5_B,L,rawspectrogram,binomial,0.00,0.092586
ww1211_5_B,L,rawspectrogram,binomial,0.25,0.116778
ww1211_5_B,L,rawspectrogram,binomial,0.50,0.231441
ww1211_5_B,L,rawspectrogram,binomial,0.75,0.340347
ww1211_5_B,L,rawspectrogram,binomial,1.00,0.369519
ww1211_5_B,L,rawspectrogram,leglm,0.00,0.172554
ww1211_5_B,L,rawspectrogram,leglm,0.25,0.281026
ww1211_5_B,L,rawspectrogram,leglm,0.50,0.346103
ww1211_5_B,L,rawspectrogram,leglm,0.75,0.360543
ww1211_5_B,L,rawspectrogram,leglm,1.00,0.372933
ww1211_5_B,L,lyons,linear,0.00,0.394271
ww1211_5_B,L,lyons,linear,0.25,0.396818
ww1211_5_B,L,lyons,linear,0.50,0.396215
ww1211_5_B,L,lyons,linear,0.75,0.391668
ww1211_5_B,L,lyons,linear,1.00,0.364665
ww1211_5_B,L,lyons,sepnl_spline,0.00,0.411560
ww1211_5_B,L,lyons,sepnl_spline,0.25,0.412709
ww1211_5_B,L,lyons,sepnl_spline,0.50,0.415810
ww1211_5_B,L,lyons,sepnl_spline,0.75,0.407914
ww1211_5_B,L,lyons,sepnl_spline,1.00,0.345858
ww1211_5_B,L,lyons,sepnl_dists,0.00,0.406393
ww1211_5_B,L,lyons,sepnl_dists,0.25,0.414988
ww1211_5_B,L,lyons,sepnl_dists,0.50,0.405866
ww1211_5_B,L,lyons,sepnl_dists,0.75,0.402025
ww1211_5_B,L,lyons,sepnl_dists,1.00,0.369192
ww1211_5_B,L,lyons,poisson,0.00,0.096177
ww1211_5_B,L,lyons,poisson,0.25,0.089774
ww1211_5_B,L,lyons,poisson,0.50,0.289410
ww1211_5_B,L,lyons,poisson,0.75,0.304802
ww1211_5_B,L,lyons,poisson,1.00,0.238861
ww1211_5_B,L,lyons,binomial,0.00,0.132862
ww1211_5_B,L,lyons,binomial,0.25,0.183863
ww1211_5_B,L,lyons,binomial,0.50,0.225927
ww1211_5_B,L,lyons,binomial,0.75,0.353136
ww1211_5_B,L,lyons,binomial,1.00,0.319733
ww1211_5_B,L,lyons,leglm,0.00,0.206906
ww1211_5_B,L,lyons,leglm,0.25,0.257175
ww1211_5_B,L,lyons,leglm,0.50,0.356957
ww1211_5_B,L,lyons,leglm,0.75,0.354088
ww1211_5_B,L,lyons,leglm,1.00,0.312575
ww1211_5_B,L,surprise,linear,0.00,0.408656
ww1211_5_B,L,surprise,linear,0.25,0.410464
ww1211_5_B,L,surprise,linear,0.50,0.410113
ww1211_5_B,L,surprise,linear,0.75,0.411798
ww1211_5_B,L,surprise,linear,1.00,0.405847
ww1211_5_B,L,surprise,sepnl_spline,0.00,0.411728
ww1211_5_B,L,surprise,sepnl_spline,0.25,0.419029
ww1211_5_B,L,surprise,sepnl_spline,0.50,0.420239
ww1211_5_B,L,surprise,sepnl_spline,0.75,0.418227
ww1211_5_B,L,surprise,sepnl_spline,1.00,0.413743
ww1211_5_B,L,surprise,sepnl_dists,0.00,0.412472
ww1211_5_B,L,surprise,sepnl_dists,0.25,0.414014
ww1211_5_B,L,surprise,sepnl_dists,0.50,0.412418
ww1211_5_B,L,surprise,sepnl_dists,0.75,0.410852
ww1211_5_B,L,surprise,sepnl_dists,1.00,0.398928
ww1211_5_B,L,surprise,poisson,0.00,0.365617
ww1211_5_B,L,surprise,poisson,0.25,0.360688
ww1211_5_B,L,surprise,poisson,0.50,0.355826
ww1211_5_B,L,surprise,poisson,0.75,0.353919
ww1211_5_B,L,surprise,poisson,1.00,0.330603
ww1211_5_B,L,surprise,binomial,0.00,0.328370
ww1211_5_B,L,surprise,binomial,0.25,0.329784
ww1211_5_B,L,surprise,binomial,0.50,0.333643
ww1211_5_B,L,surprise,binomial,0.75,0.344646
ww1211_5_B,L,surprise,binomial,1.00,0.376885
ww1211_5_B,L,surprise,leglm,0.00,0.413650
ww1211_5_B,L,surprise,leglm,0.25,0.417533
ww1211_5_B,L,surprise,leglm,0.50,0.425462
ww1211_5_B,L,surprise,leglm,0.75,0.426236
ww1211_5_B,L,surprise,leglm,1.00,0.380347
ww1211_5_B,L,neurogram,linear,0.50,0.460832
ww1211_5_B,L,neurogram,linear,1.00,0.442919
ww1211_5_B,L,neurogram,sepnl_spline,0.50,0.437351
ww1211_5_B,L,neurogram,sepnl_spline,1.00,0.443603
ww1211_5_B,L,neurogram,sepnl_dists,0.50,0.380405
ww1211_5_B,L,neurogram,sepnl_dists,1.00,0.350909
ww1211_5_B,L,neurogram,leglm,0.50,0.387132
ww1211_5_B,L,neurogram,leglm,1.00,0.360528
