pupu2122_2_B,L,287.640000
blabla0713_6_A,MLd,325.179000
pupi0414_10,OV,315.930000
blublu0809_2_B,CM,242.023000
oo2015_9_A,L,168.958000
yy1617_3_A,MLd,295.648000
pupi0414_1,OV,98.020900
yy2728_7_B,CM,73.690100
yy1617_5_B,L,140.728000
yy1617_4_A,MLd,251.762000
obla1305_7,OV,60.519400
yy0212_2_B,CM,66.616500
pupu0606_4_B,L,118.514000
blabla1515_3_A,MLd,228.931000
gr0869_5,OV,46.567300
oo1220_2_A,CM,65.453000
oo1920_6_B,L,102.976000
gg0116_1_A,MLd,161.666000
pupi0414_8,OV,48.820200
yy0203_6_A,CM,58.813200
yy2728_4_B,L,89.597800
gg0116_2_A,MLd,145.714000
gr1070_1,OV,42.898100
pupu2122_1_B,CM,62.099200
ww1211_5_B,L,87.294900
oo0909_2_A,MLd,135.997000
glb5202_9,OV,43.136200
yy4344_1_B,CM,59.362000
blabla1515_6_B,L,88.792300
gg0116_4_A,MLd,124.602000
glb5656_2,OV,38.572700
blublu0809_1_B,CM,41.506200
oo2015_6_A,L,81.822600
gg0304_9_A,MLd,123.495000
gr1070_4,OV,36.542300
yg0616_7_B,CM,48.221600
ww1211_4_B,L,88.934900
blabla0713_2_A,MLd,93.619900
obla17102_10,OV,37.433300
oo2015_2_B,CM,41.517900
blabla1515_2_B,L,81.362700
blublu0916_5_A,MLd,81.467000
obla17102_2,OV,33.284600
yy0212_5,CM,36.816100
blabla0903_1_B,L,85.635200
pupu1203_4_A,MLd,84.129400
obla17102_8,OV,33.375500
yg0616_4_B,CM,32.608200
yy0203_3_A,L,81.549600
gg0116_5_A,MLd,81.464600
pupi0414_5,OV,30.443100
yy0203_4_A,CM,45.852800
oo0909_6_B,L,76.779000
blabla1515_5_A,MLd,86.478600
glb5202_6,OV,29.369700
oo1920_3_B,CM,31.836800
oo1712_4_B,L,70.431000
blublu0916_3_A,MLd,75.351500
blahp4108_4,OV,29.533800
pupu0333_5_B,CM,30.760200
blabla1515_7_B,L,65.183800
publu0717_2_A,MLd,72.731000
obla17102_7,OV,28.973300
oo1220_2_B,CM,24.491400
ww1211_1_B,L,66.108500
blabla1515_8_A,MLd,75.002200
obla17102_6,OV,27.618700
yy0203_2_A,CM,38.438200
oo2015_5_B,L,58.257300
oo1712_8_A,MLd,75.565000
blahp9904_9,OV,25.979700
yg0616_5_B,CM,22.933500
oo2015_3_B,L,61.314800
pipi1112_1_A,MLd,66.795800
glb5202_7,OV,28.927300
oo1220_1_A,CM,21.050400
oo2015_7_A,L,58.700300
gg0304_10_A,MLd,75.788800
obla17102_9,OV,28.882200
yg0616_6_B,CM,19.204100
pupu2122_3_B,L,57.086000
blublu0916_1_A,MLd,69.743600
obla17102_5,OV,27.838100
oo1920_10_B,CM,18.776600
pupu0606_2_B,L,61.819400
blabla0713_5_A,MLd,67.386700
obla1305_5,OV,27.480100
oo0108_4_B,CM,22.799900
blabla0903_2_B,L,57.881100
pipi1112_2_A,MLd,61.846100
obla17102_4,OV,26.384000
blabla0713_3_B,L,49.134700
pupu1203_2_A,MLd,68.619000
pupi0414_2,OV,26.160600
gg0304_6_B,L,50.671700
blabla1904_1_A,MLd,58.901200
gr0965_6,OV,26.117700
oo0909_5_B,L,55.185600
blublu0809_5_A,MLd,61.187700
blahp4108_5,OV,25.898900
blublu4546_2_A,L,49.980900
lghp1616_6_A,MLd,62.506500
glb5656_5,OV,24.165600
oo0909_2_B,L,53.320800
lghp1616_10_A,MLd,61.068800
gr1070_2,OV,24.145600
oo2015_5_A,L,46.570600
lghp1616_9_A,MLd,58.646300
obla1305_8,OV,23.983300
blabla1819_4_B,L,48.757500
blabla0713_4_A,MLd,61.744200
obla1305_4,OV,23.618000
yg0111_9_B,L,46.040100
blabla1904_5_A,MLd,57.751000
gr0965_7,OV,22.598900
ww1211_3_B,L,45.299000
oo0108_4_A,MLd,66.471900
glb5656_3,OV,22.248300
oo2015_8_A,L,43.353800
publu0717_11_A,MLd,53.909500
gr1070_5,OV,21.369800
blabla0713_4_B,L,44.194400
pupu1203_1_A,MLd,55.893100
gr0965_3,OV,20.082800
pupu2122_2_A,L,43.461100
gg0318_2_A,MLd,49.877100
gr1070_3,OV,20.347100
oo1712_7_B,L,42.663500
oo0108_2_A,MLd,53.403400
gr0965_1,OV,18.139900
blabla0903_1_A,L,41.983500
oo1712_3_A,MLd,52.902600
blahp9904_7,OV,17.260200
pupu0511_2_A,L,43.350500
