yy0203,6_A,CM
pupu0511,1_B,CM
yy2728,1_B,CM
oo1920,9_B,CM
oo2015,2_B,CM
yg0616,5_B,CM
yy0203,2_A,CM
gg1114,2_A,CM
yg0616,7_B,CM
pupu0607,2_A,CM
oo1220,2_A,CM
pupu0333,4_B,CM
oo0108,4_B,CM
yy0212,5,CM
yy0203,5_A,CM
oo1220,1_A,CM
blublu0809,1_B,CM
oo1920,3_B,CM
oo1220,2_B,CM
yy2728,7_B,CM
pupu0333,5_B,CM
oo1920,2_B,CM
yg0616,6_B,CM
pupu2122,1_B,CM
oo1220,1_B,CM
oo1920,5_B,CM
oo1920,4_B,CM
blublu0809,2_B,CM
yy0212,2_B,CM
yy4344,1_B,CM
yy0203,4_A,CM
pupu0607,1_B,CM
oo1920,10_B,CM
yg0616,4_B,CM
blabla1904,1_B,CM
yy2728,6_B,CM
oo1712,2_B,CM
