pupi0414_8,conspecific,flatrip
pupi0414_9,conspecific,flatrip
yg0616_6_B,bengalese,conspecific,flatrip
yg0111_4_B,bengalese,conspecific,flatrip
yg0111_6_B,bengalese,conspecific,flatrip
pupu1203_5_A,conspecific,flatrip,songrip
blabla1515_8_A,conspecific,flatrip
blabla1515_8_B,conspecific,flatrip
yg0111_2_B,bengalese,conspecific,flatrip
yg0331_2_B,bengalese,conspecific,flatrip
yg0331_2_A,bengalese,conspecific,flatrip
yg0331_7_A,bengalese,conspecific,flatrip
publu0717_5_A,bengalese,conspecific,flatrip
oo1220_2_A,conspecific,flatrip
yg0331_1_A,bengalese,conspecific,flatrip
gg0116_2_A,conspecific,flatrip,songrip
yg0331_10_A,bengalese,conspecific,flatrip
publu0717_7_A,bengalese,conspecific,flatrip
publu0717_7_B,bengalese,conspecific,flatrip
yy1617_4_A,conspecific,flatrip,songrip
blublu0809_5_A,conspecific,flatrip,songrip
blabla0313_3,conspecific,flatrip,songrip
blabla0903_3_B,conspecific,flatrip,songrip
yg0111_9_B,bengalese,conspecific,flatrip
yy0212_2_B,conspecific,flatrip,songrip
blabla0903_1_B,conspecific,flatrip,songrip
blabla0903_1_A,conspecific,flatrip,songrip
yg0111_10_B,bengalese,conspecific,flatrip
publu0717_3_A,bengalese,conspecific,flatrip
yg0331_5_A,bengalese,conspecific,flatrip
yg0331_5_B,bengalese,conspecific,flatrip
publu0717_3_B,bengalese,conspecific,flatrip
rr3334_2_A,conspecific,flatrip,songrip
oo1920_3_B,conspecific,flatrip,songrip
oo1920_3_A,conspecific,flatrip,songrip
rr3334_4_A,conspecific,flatrip,songrip
blabla0713_5_A,conspecific,flatrip,songrip
oo1920_10_A,conspecific,flatrip,songrip
oo1920_10_B,conspecific,flatrip,songrip
blabla0903_5_B,conspecific,flatrip,songrip
blabla0903_5_A,conspecific,flatrip,songrip
oo1220_6_A,conspecific,flatrip
oo1220_6_B,conspecific,flatrip
oo1920_5_A,conspecific,flatrip,songrip
blublu0809_1_A,conspecific,flatrip,songrip
blublu0809_1_B,conspecific,flatrip,songrip
oo1920_5_B,conspecific,flatrip,songrip
blublu0809_3_B,conspecific,flatrip,songrip
blublu0809_3_A,conspecific,flatrip,songrip
publu0717_9_B,bengalese,conspecific,flatrip
publu0717_9_A,bengalese,conspecific,flatrip
blabla0713_3_A,conspecific,flatrip,songrip
blabla0713_3_B,conspecific,flatrip,songrip
blabla0713_1_A,conspecific,flatrip,songrip
gg0304_9_B,bengalese,conspecific,flatrip
gg0304_9_A,bengalese,conspecific,flatrip
rr3637_3_A,conspecific,flatrip,songrip
rr3637_3_B,conspecific,flatrip,songrip
yy2728_4_B,conspecific,flatrip,songrip
pipu0617_9_B,bengalese,conspecific,flatrip
yg0331_9_A,bengalese,conspecific,flatrip
yg0331_9_B,bengalese,conspecific,flatrip
gr0869_10,conspecific,flatrip
pupu2122_1_B,conspecific,flatrip,songrip
yy0212_4_B,conspecific,flatrip,songrip
rr3637_1_B,conspecific,flatrip,songrip
blabla0903_2_A,conspecific,flatrip,songrip
blabla0903_2_B,conspecific,flatrip,songrip
publu0717_10_A,bengalese,conspecific,flatrip
blabla1819_4_B,conspecific,flatrip,songrip
yg0331_3_B,bengalese,conspecific,flatrip
yg0331_3_A,bengalese,conspecific,flatrip
pipu0617_3_A,bengalese,conspecific,flatrip
pipu0617_3_B,bengalese,conspecific,flatrip
pipu0617_6_A,bengalese,conspecific,flatrip
gg1114_2_A,conspecific,flatrip,songrip
publu0717_4_A,bengalese,conspecific,flatrip
oo1220_5_B,conspecific,flatrip
oo1220_5_A,conspecific,flatrip
publu0717_6_A,bengalese,conspecific,flatrip
publu0717_6_B,bengalese,conspecific,flatrip
yg0331_6_A,bengalese,conspecific,flatrip
blublu0809_4_A,conspecific,flatrip,songrip
blublu0809_4_B,conspecific,flatrip,songrip
pupu0607_1_B,conspecific,flatrip,songrip
oo1220_1_B,conspecific,flatrip
oo1220_1_A,conspecific,flatrip
pipi1112_2_A,conspecific,flatrip,songrip
gg0304_6_A,bengalese,conspecific,flatrip
gg0304_6_B,bengalese,conspecific,flatrip
pupi0414_7,conspecific,flatrip
blabla0903_6_A,conspecific,flatrip,songrip
pupu2122_3_A,conspecific,flatrip,songrip
pupu2122_3_B,conspecific,flatrip,songrip
gg0304_4_B,bengalese,conspecific,flatrip
gg0304_4_A,bengalese,conspecific,flatrip
pupu2122_5_A,conspecific,flatrip,songrip
yg0331_4_A,bengalese,conspecific,flatrip
publu0717_2_A,bengalese,conspecific,flatrip
yg0331_4_B,bengalese,conspecific,flatrip
pipu0617_4_B,bengalese,conspecific,flatrip
