oo1920,3_A,mld,5.643700,13.273000,17.141000,21.484000
gg0304,12_A,mld,12.062000,14.101000,17.013000,20.191000
yg0331,7_A,mld,4.923000,13.280000,16.955000,21.048000
pupu0333,5_A,mld,5.766700,13.425000,16.768000,20.472000
oo1920,5_A,mld,5.986600,12.374000,16.732000,21.708000
pupu0606,2_A,mld,2.293300,12.687000,16.667000,21.151000
gg0304,6_A,mld,5.010900,12.645000,16.577000,20.982000
yy1617,2_A,mld,7.372100,13.114000,16.323000,19.857000
oo1920,4_A,mld,3.732700,12.157000,16.064000,20.468000
blabla1819,1_A,mld,13.757000,13.276000,16.008000,19.086000
pipu0617,7_A,mld,4.337600,12.800000,15.970000,19.463000
pipu0617,10_A,mld,16.242000,13.307000,15.948000,18.820000
oo1712,7_A,mld,9.672300,12.837000,15.927000,19.325000
oo1920,10_A,mld,8.483300,12.359000,15.690000,19.376000
oo1010,3_A,mld,2.867600,11.131000,15.555000,20.635000
pipu1018,7_A,mld,8.314800,12.577000,15.299000,18.263000
oo1712,4_A,mld,7.400500,12.042000,14.910000,18.049000
yg0331,1_A,mld,5.860600,10.996000,14.857000,19.263000
oo1010,4_A,mld,12.880000,11.934000,14.760000,17.933000
yg0331,8_A,mld,8.219200,11.849000,14.740000,17.914000
pipu0617,8_A,mld,6.204100,11.976000,14.738000,17.756000
oo0108,3_A,mld,3.634100,11.377000,14.722000,18.447000
pipu0617,6_A,mld,4.041500,11.343000,14.549000,18.103000
pupu1203,5_A,mld,5.461400,10.117000,14.543000,19.690000
yg0331,4_A,mld,7.392000,11.503000,14.470000,17.738000
pipu1018,8_A,mld,3.291000,11.374000,14.405000,17.748000
gg0318,4_A,mld,1.404600,10.411000,14.167000,18.387000
rr3334,3_A,mld,5.583000,10.524000,14.069000,18.060000
publu0717,10_A,mld,6.119700,10.956000,13.768000,16.852000
blublu0809,3_A,mld,10.964000,10.927000,13.743000,16.844000
pipu1018,6_A,mld,8.496800,10.548000,13.340000,16.405000
gg0304,11_A,mld,9.680800,10.320000,13.290000,16.563000
oo1415,2_A,mld,1.816300,9.459300,13.289000,17.652000
rr3334,4_A,mld,4.128200,9.605500,13.218000,17.301000
yg0331,9_A,mld,7.351100,10.315000,13.192000,16.358000
blabla0713,1_A,mld,9.372100,10.523000,13.001000,15.840000
pipu1018,11_A,mld,11.383000,10.116000,12.446000,14.975000
blabla1515,4_A,mld,9.884300,9.614100,12.314000,15.270000
blabla1515,6_A,mld,14.788000,8.652000,12.135000,16.083000
publu0717,3_A,mld,3.688000,8.859300,11.905000,15.307000
pupu0333,4_A,mld,10.702000,9.266700,11.887000,14.774000
blublu0809,2_A,mld,6.457300,8.622100,11.864000,15.505000
pipu0617,5_A,mld,10.960000,8.909500,11.337000,13.983000
pipu0617,3_A,mld,8.864800,8.814200,11.178000,13.757000
yg0331,10_A,mld,2.908000,8.162700,10.872000,13.848000
pipu1018,4_A,mld,7.280700,8.577300,10.861000,13.345000
oo1920,2_A,mld,5.041000,7.886300,10.796000,14.147000
yg0331,5_A,mld,5.915500,7.536200,10.121000,12.978000
yg0331,2_A,mld,8.889100,7.556000,9.795300,12.263000
gg0304,4_A,mld,7.713400,7.319300,8.984400,10.804000
pipu1018,1_A,mld,3.961300,6.222400,8.953100,12.006000
pipu1018,3_A,mld,5.403000,5.771900,7.874300,10.254000
blabla1515,2_A,mld,7.194500,5.367800,7.870200,10.703000
pipu0617,2_A,mld,4.950300,5.483800,7.602600,9.922000
oo0909,5_A,mld,5.639900,5.185700,7.311600,9.885400
pupu0606,1_A,mld,2.359500,3.899700,6.246900,8.942300
pipu1018,2_A,mld,-1.000000,-1.000000,-1.000000,-1.000000
