"pipu1018"	"6_B"	"L2a"	8.7008	14.251	16.928	19.83				
"oo1010"	"4_B"	"L3"	6.3759	13.308	16.828	20.747				
"blabla0713"	"6_B"	"L2a"	14.565	13.335	16.625	20.241				
"pipu0617"	"3_B"	"L1"	12.906	13.758	16.426	19.319				
"blabla1515"	"5_B"	"L3"	13.253	13.477	16.322	19.558				
"oo1415"	"6_B"	"L3"	10.448	13.03	16.01	19.272				
"blublu4142"	"3_B"	"L2a"	8.117	12.591	15.696	19.115				
"oo2015"	"6_B"	"L2b"	10.134	12.786	15.593	18.653				
"blublu0809"	"3_B"	"L2b"	10.546	12.587	15.511	18.704				
"oo1920"	"7_B"	"L3"	11.387	11.663	15.12	19.174				
"pupu0607"	"3_A"	"L1"	11.384	12.245	15.113	18.262				
"pupu0607"	"2_B"	"L1"	1.7777	7.3228	15.01	24.001				
"yg0616"	"9_B"	"L2a"	9.122	12.327	14.975	17.855				
"yy2728"	"4_A"	"L3"	13.109	11.373	14.918	18.595				
"ww1211"	"5_A"	"L3"	2.4321	11.307	14.695	18.469				
"pipu1018"	"11_B"	"L2a"	1.1121	9.9182	14.527	19.789				
"yy2728"	"2_B"	"L2b"	2.5162	10.656	14.39	18.626				
"pupu0607"	"4_B"	"L1"	3.2395	10.99	14.358	18.119				
"pipu0617"	"5_B"	"L2a"	18.255	11.806	14.207	16.81				
"publu0717"	"7_B"	"L2b"	3.8546	9.9513	13.982	18.457				
"oo1712"	"8_B"	"L2a"	8.6305	10.66	13.903	17.546				
"yy1617"	"2_B"	"L2a"	3.6998	10.195	13.619	17.458				
"rr1416"	"1_B"	"L2b"	2.0073	9.4984	13.508	18.607				
"yg0616"	"10_B"	"L2a"	12.82	11.177	13.452	16.035				
"yg0331"	"2_B"	"L2a"	18.597	10.978	13.444	16.203				
"blabla1904"	"3_B"	"L2a"	10.725	9.6606	13.433	18.023				
"yg0331"	"10_B"	"L2a"	8.4398	11.019	13.362	16.011				
"pipu0617"	"8_B"	"L1"	7.2315	10.374	13.127	16.148				
"yg0111"	"10_B"	"L2b"	11.324	10.66	13.046	15.617				
"rr3637"	"3_B"	"L2b"	1.7867	7.8011	12.506	18.308				
"gg0304"	"10_B"	"L3"	6.1063	9.602	12.16	14.946				
"pupu0511"	"3_A"	"L3"	20.501	9.5767	12.077	15.012				
"yy2728"	"6_A"	"L1"	2.0258	7.402	12.01	17.416				
"blublu0809"	"4_B"	"L3"	17.938	9.8808	12.01	14.573				
"pipu0617"	"9_B"	"L2a"	3.6372	9.1673	11.853	14.809				
"oo0108"	"1_B"	"L2b"	10.42	8.7039	11.079	13.814				
"yy0212"	6	"L2a"	6.6086	7.9372	10.828	14.044				
"yg0331"	"4_B"	"L3"	10.572	8.5795	10.752	12.908				
"yg0111"	"2_B"	"L3"	6.8279	8.0128	10.738	13.764				
"gg0304"	"4_B"	"L2b"	9.6552	8.6232	10.595	12.765				
"pipu0617"	"4_B"	"L2a"	10.457	8.2451	10.408	12.756				
"pupu0607"	"4_A"	"L1"	4.6564	7.5098	10.211	13.206				
"oo2015"	"10_A"	"L2a"	11.947	7.757	10.184	12.965				
"yg0111"	"4_B"	"L3"	8.5328	7.5803	10.048	12.899				
"yy0212"	"3_B"	"L2b"	3.9136	6.9575	9.7037	12.758				
"oo1712"	"5_B"	"L3"	11.483	7.2388	9.1678	11.392				
"blublu4142"	"4_B"	"L2a"	12.327	5.9906	8.8103	12.217				
"blabla0903"	"6_A"	"L3"	7.7723	5.8884	8.5566	11.628				
"pipu1018"	"3_B"	"L3"	8.7464	6.3161	8.5098	11.133				
"yy0212"	"4_B"	"L2b"	1.2193	3.2823	8.4081	15.085				
"yg0111"	"6_B"	"L3"	4.817	5.99	8.159	10.65				
"pupu0607"	"6_A"	"L3"	2.2707	3.4799	8.1348	14.151				
"gg1114"	"7_A"	"L3"	3.8107	4.2664	8.1142	12.554				
"yg0616"	"11_B"	"L2a"	7.9341	6.1387	7.868	9.9285				
"rr3334"	"1_B"	"L2b"	10.426	5.9056	7.8649	10.257				
"publu0717"	"6_B"	"L2a"	11.003	5.4762	7.6448	9.9752				
"blabla0903"	"4_B"	"L3"	5.032	4.863	7.604	11.04				
"pupu0607"	"5_A"	"L3"	2.8207	4.7109	7.5797	11.079				
"blabla0903"	"5_A"	"L3"	5.1924	4.6162	7.5737	10.797				
"oo0108"	"2_B"	"L2b"	7.2875	5.2683	7.4786	10.073				
"pipu1018"	"4_B"	"L3"	9.7337	5.2181	7.4108	9.3654				
"oo2015"	"7_B"	"L3"	8.2131	4.8837	7.1556	9.7719				
"pipu0617"	"7_B"	"L1"	5.2323	5.0108	7.043	9.3149				
"yy2728"	5	"L2b"	5.8854	4.5124	6.9869	10.002				
"blabla0903"	"5_B"	"L1"	1.9795	3.5138	6.8154	10.888				
"yg0111"	"8_B"	"L3"	7.0877	4.8821	6.6555	8.6773				
"yg0111"	"7_B"	"L3"	6.2244	4.9605	6.56	8.5134				
"pipu1018"	"7_B"	"L2a"	6.3471	4.8437	6.5019	8.5995				
"yy4344"	"6_B"	"L3"	0.3361	0.49676	6.4399	15.083				
"oo1220"	"5_B"	"L2a"	5.3809	4.4937	6.2123	8.5002				
"pupu0606"	"3_B"	"L2a"	4.5193	3.787	6.1163	8.9876				
"oo0909"	"4_B"	"L2b"	7.1381	3.9221	6.0925	8.665				
"oo1220"	"6_A"	"L3"	1.3246	1.6811	6.0637	11.742				
"blabla0313"	3	"L2b"	5.7906	3.8027	5.9486	8.7275				
"yg0331"	"5_B"	"L3"	6.3548	3.933	5.6864	7.8869				
"blabla1904"	"4_B"	"L3"	3.5089	2.6018	5.5037	8.7726				
"pupu0511"	"4_A"	"L2a"	2.1928	2.2338	5.4135	9.2489				
"oo1220"	"5_A"	"L2a"	2.6423	3.1612	5.2322	7.7678				
"yg0331"	"8_B"	"L1"	6.5347	3.5362	5.1409	7.2917				
"pupu0607"	"3_B"	"L1"	3.865	3.097	4.8932	6.8303				
"blabla1904"	"5_B"	"L3"	4.0414	2.3843	4.7615	7.652				
"pupu0333"	"3_B"	"L3"	3.6649	1.6567	4.1444	6.3563				
"yy1617"	"3_B"	"L2a"	0.95947	1.3803	3.5806	6.0401				
"oo1220"	"6_B"	"L3"	2.6274	1.6337	3.276	5.2269				
"pipu1018"	"2_B"	"L2a"	-1	-1	-1	-1				
